Code	Full Name	brief_Classification	Full_Classification	Alg_classification	Eudic_classification	SeedPlant_nonEudic_classification	Nonseed_Embryo	Concat_Caryo	ASTRAL_Caryo1	CoreEudic_Radiation	Confer_relationships	Bryophyte_Relationships	Basal Angiosperms	Commelinids	LandPlantsSister	Prasinocauccues	CUT_Clade
MWXT	MWXT;Streptophyta Charales;Chara vulgaris	Charophyceae	Charophyceae	Charophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Chara	Strept	Out
HHXJ	HHXJ;Chlorodendrophyceae;Tetraselmis striata	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
DUMA	DUMA;Chlorodendrophyceae;Tetraselmis cordiformis	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
FMVB	FMVB;Chlorodendrophyceae;Scherffelia dubia	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
HVNO	HVNO;Chlorodendrophyceae;Tetraselmis chui	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
AZZW	AZZW;Streptophyta Chlorokybales;Chlorokybus atmophyticus	Chlorokybales	Chlorokybales	Chlorokybales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Strept	Out
BAZF	BAZF;Chlorophyceae Chaetopeltidales;Chaetopeltis orbicularis	Chlorophyceae	Chlorophyceae Chaetopeltidales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IJMT	IJMT;Chlorophyceae Chaetophorales;Aphanochaete repens	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ISGT	ISGT;Chlorophyceae Chaetophorales;Uronema sp.	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JMUI	JMUI;Chlorophyceae Chaetophorales;Stigeoclonium helveticum	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RAWF	RAWF;Chlorophyceae Chaetophorales;Uronema belkae	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
VFIV	VFIV;Chlorophyceae Chaetophorales;Fritschiella tuberosa	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ACRY	ACRY;Chlorophyceae Chlamydomonadales;Pteromonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AGIO	AGIO;Chlorophyceae Chlamydomonadales;Haematococcus pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AJUW	AJUW;Chlorophyceae Chlamydomonadales;Chloromonas rosae	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AOUJ	AOUJ;Chlorophyceae Chlamydomonadales;Chlamydomonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
BCYF	BCYF;Chlorophyceae Chlamydomonadales;Chlamydomonas cribrum	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
DZPJ	DZPJ;Chlorophyceae Chlamydomonadales;Cylindrocapsa geminella	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ENAU	ENAU;Chlorophyceae Chlamydomonadales;Spermatozopsis similis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
FXHG	FXHG;Chlorophyceae Chlamydomonadales;Hafniomonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GDUD	GDUD;Chlorophyceae Chlamydomonadales;Chloromonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GFUR	GFUR;Chlorophyceae Chlamydomonadales;Chloromonas subdivisa	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GUBD	GUBD;Chlorophyceae Chlamydomonadales;Brachiomonas submarina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IHOI	IHOI;Chlorophyceae Chlamydomonadales;Chloromonas oogama	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IRYH	IRYH;Chlorophyceae Chlamydomonadales;Heterochlamydomonas inaequalis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ISPU	ISPU;Chlorophyceae Chlamydomonadales;Volvox globator	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JKKI	JKKI;Chlorophyceae Chlamydomonadales;Lobomonas rostrata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JRGZ	JRGZ;Chlorophyceae Chlamydomonadales;Chlamydomonas moewusii	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JWGT	JWGT;Chlorophyceae Chlamydomonadales;Volvox aureus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
KFEB	KFEB;Chlorophyceae Chlamydomonadales;Haematococcus pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
KUJU	KUJU;Chlorophyceae Chlamydomonadales;Gonium pectorale	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
LBRP	LBRP;Chlorophyceae Chlamydomonadales;Chloromonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
LNIL	LNIL;Chlorophyceae Chlamydomonadales;Pteromonas angulosa	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MNPL	MNPL;Chlorophyceae Chlamydomonadales;Asteromonas gracilis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MULF	MULF;Chlorophyceae Chlamydomonadales;Chlamydomonas bilatus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MXDS	MXDS;Chlorophyceae Chlamydomonadales;Spermatozopsis exsultans	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
NDPQ	NDPQ;Chlorophyceae Chlamydomonadales;Dunaliella salina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
NTLE	NTLE;Chlorophyceae Chlamydomonadales;Asteromonas gracilis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ODXI	ODXI;Chlorophyceae Chlamydomonadales;Haematococcus pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
OFUE	OFUE;Chlorophyceae Chlamydomonadales;Lobochlamys segnis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
OVHR	OVHR;Chlorophyceae Chlamydomonadales;Chlamydomonas bilatus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
POIR	POIR;Chlorophyceae Chlamydomonadales;Volvox aureus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
PRIQ	PRIQ;Chlorophyceae Chlamydomonadales;Pleurastrum insigne	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
QRTH	QRTH;Chlorophyceae Chlamydomonadales;Chloromonas perforata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
QWRA	QWRA;Chlorophyceae Chlamydomonadales;Vitreochlamys sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RHVC	RHVC;Chlorophyceae Chlamydomonadales;Dunaliella salina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RNAT	RNAT;Chlorophyceae Chlamydomonadales;Eudorina elegans	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RUIF	RUIF;Chlorophyceae Chlamydomonadales;Carteria obtusa	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RYJX	RYJX;Chlorophyceae Chlamydomonadales;Pandorina morum	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
SRGS	SRGS;Chlorophyceae Chlamydomonadales;Chlamydomonas bilatus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
SYJM	SYJM;Chlorophyceae Chlamydomonadales;Dunaliella salina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
TSBQ	TSBQ;Chlorophyceae Chlamydomonadales;Chlamydomonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
UKUC	UKUC;Chlorophyceae Chlamydomonadales;Dunaliella salina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
UTRE	UTRE;Chlorophyceae Chlamydomonadales;Chloromonas tughillensis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
VALZ	VALZ;Chlorophyceae Chlamydomonadales;Chlamydomonas noctigama	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
VIAU	VIAU;Chlorophyceae Chlamydomonadales;Carteria crucifera	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
WDWX	WDWX;Chlorophyceae Chlamydomonadales;Dunaliella primolecta	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
WRSL	WRSL;Chlorophyceae Chlamydomonadales;Volvox aureus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
XDLL	XDLL;Chlorophyceae Chlamydomonadales;Oogamochlamys gigantea	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
XOZZ	XOZZ;Chlorophyceae Chlamydomonadales;Chlamydomonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ZDIZ	ZDIZ;Chlorophyceae Chlamydomonadales;Dunaliella tertiolecta	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ZFXU	ZFXU;Chlorophyceae Chlamydomonadales;Asteromonas gracilis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ZIVZ	ZIVZ;Chlorophyceae Chlamydomonadales;Phacotus lenticularis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ZLBP	ZLBP;Chlorophyceae Chlamydomonadales;Chloromonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ZLQE	ZLQE;Chlorophyceae Chlamydomonadales;Stephanosphaera pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
USIX	USIX;Chlorophyceae Chlamydomonadales;Neochlorosarcina sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
DVYE	DVYE;Chlorophyceae Oedogoniales;Oedogonium cardiacum	Chlorophyceae	Chlorophyceae Oedogoniales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
SDPC	SDPC;Chlorophyceae Oedogoniales;Oedogonium foveolatum	Chlorophyceae	Chlorophyceae Oedogoniales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
BZSH	BZSH;Chlorophyceae Sphaeropleales;Golenkinia longispicula	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
FOYQ	FOYQ;Chlorophyceae Sphaeropleales;Microspora cf. tumidula	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JRDV	JRDV;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MWAN	MWAN;Chlorophyceae Sphaeropleales;Neodesmus pupukensis	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
NLOM	NLOM;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
OTQG	OTQG;Chlorophyceae Sphaeropleales;Ankistrodesmus sp.	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
PZIF	PZIF;Chlorophyceae Sphaeropleales;Acutodesmus dimorphus	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
QGQH	QGQH;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
VJDZ	VJDZ;Chlorophyceae Sphaeropleales;Botryosphaerella sudetica	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
XKWQ	XKWQ;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
XTON	XTON;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
YOHC	YOHC;Chlorophyceae Sphaeropleales;Pediastrum duplex	Chlorophyceae	Chlorophyceae Sphaeropleales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
APTP	APTP;Chromista ;Ishige okamurae	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
ASZK	ASZK;Chromista ;Punctaria latifolia	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
BAKF	BAKF;Chromista ;Cryptomonas curvata	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
FIDQ	FIDQ;Chromista ;Undaria pinnatifida	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
FIKG	FIKG;Chromista ;Sargassum henslowianum	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
FOMH	FOMH;Chromista ;Sargassum integerrimum	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
FSQE	FSQE;Chromista ;Desmarestia viridis	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
HFIK	HFIK;Chromista ;Sargassum vachellianum	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
IAYV	IAYV;Chromista ;Rhodomonas sp.	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
IRZA	IRZA;Chromista ;Proteomonas sulcata	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
JCXF	JCXF;Chromista ;Scytosiphon lomentaria	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
JGGD	JGGD;Chromista ;Sargassum muticum	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
LDRY	LDRY;Chromista ;Sargassum fusiforme	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
LIRF	LIRF;Chromista ;Dictyopteris undulata	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
MJMQ	MJMQ;Chromista ;Hemiselmis virescens	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
OGZM	OGZM;Chromista ;Saccharina japonica	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
QDTV	QDTV;Chromista ;Saccharina japonica	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
QLMZ	QLMZ;Chromista ;Colpomenia sinuosa	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
RAPY	RAPY;Chromista ;Saccharina sculpera	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
ROZZ	ROZZ;Chromista ;Chroomonas sp.	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
RWXW	RWXW;Chromista ;Sargassum horneri	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
SRSQ	SRSQ;Chromista ;Saccharina japonica	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
ULXR	ULXR;Chromista ;Scytosiphon dotyi	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
VRGZ	VRGZ;Chromista ;Petalonia fascia	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
VYER	VYER;Chromista ;Sargassum hemiphyllum	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
YRMA	YRMA;Chromista ;Sargassum thunbergii	Chromista 	Chromista 	Chromista	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
BOGT	BOGT;Chromista Chrysophyta;Mallomonas sp.	Chromista Chrysophyta 	Chromista Chrysophyta 	Chromista Chrysophyta	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
DBYD	DBYD;Chromista Chrysophyta ;Synura petersenii	Chromista Chrysophyta 	Chromista Chrysophyta 	Chromista Chrysophyta	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
VKVG	VKVG;Chromista Chrysophyta;Synura sp.	Chromista Chrysophyta 	Chromista Chrysophyta 	Chromista Chrysophyta	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
BAJW	BAJW;Chromista Haptophyceae;Isochrysis sp.	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
LLEN	LLEN;Chromista Haptophyceae;Pavlova lutheri	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
LXRN	LXRN;Chromista Haptophyceae;Prymnesium parvum	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
NMAK	NMAK;Chromista Haptophyceae ;Pavlova lutheri	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
RFAD	RFAD;Chromista Haptophyceae ;Pavlova lutheri	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
VJED	VJED;Chromista Haptophyceae;Pavlova lutheri	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
EBWI	EBWI;Chromista Haptophyceae ;Rebecca salina	Chromista Haptophyceae	Chromista Haptophyceae	Chromista Haptophyceae	Chromista	Chromista	Chromista	Out	Out	Out	Out	Out	Out	Out	Out	Out	Out
DRGY	DRGY;Streptophyta Coleochaetales;Chaetosphaeridium globosum	Coleochaetophyceae	Coleochaetophyceae	Coleochaetophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Coleochaetales	Strept	Out
QPDY	QPDY;Streptophyta Coleochaetales;Coleochaete irregularis	Coleochaetophyceae	Coleochaetophyceae	Coleochaetophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Coleochaetales	Strept	Out
VQBJ	VQBJ;Streptophyta Coleochaetales;Coleochaete scutata	Coleochaetophyceae	Coleochaetophyceae	Coleochaetophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Coleochaetales	Strept	Out
WCQU	WCQU;Streptophyta Desmidiales;Staurodesmus convergens	Zygnemophyceae	Zygnemophyceae	Desmidiales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Zygnemophyceae	Strept	Out
WDGV	WDGV;Streptophyta Desmidiales;Cosmarium subtumidum	Zygnemophyceae	Zygnemophyceae	Desmidiales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Zygnemophyceae	Strept	Out
AEKF	AEKF;Streptophyta Desmidiales;Penium margaritaceum	Zygnemophyceae	Zygnemophyceae	Desmidiales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Zygnemophyceae	Strept	Out
BHBK	BHBK;Streptophyta Desmidiales;Cosmarium tinctum	Zygnemophyceae	Zygnemophyceae	Desmidiales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Zygnemophyceae	Strept	Out
