Len1	Boot1	Len2	Boot2	NDesc	LeafA	LeafB	Node1	Node2
2.229965	0.999999	4.60910717927	100.0	486	BAZF	SGTW	156	1384
1.620052	0.999281	4.3143670849	100.0	404	BAZF	JVSZ	157	1548
0.657378	0.877716	1.92775642438	100.0	331	BAZF	PYHZ	158	1694
0.172583	0.594253	0.724633703354	100.0	309	BAZF	BSNI	159	1738
0.590039	0.824125	3.52377868484	100.0	235	BAZF	TPHT	160	1886
0.000000	0.350330	0.137927914504	64.0	198	BAZF	VQBJ	161	1960
0.000000	0.397328	0.219537190389	97.0	195	BAZF	Chabr_v0.1	162	1966
0.000000	0.383345	0.667414116424	100.0	193	BAZF	Klefl_v1.0	163	1970
0.085497	0.552480	2.14673758777	100.0	189	BAZF	KYIO	164	1978
0.000000	0.417789	1.05947795922	100.0	186	BAZF	HYHN	165	1984
0.000000	0.338773	0.105763441144	67.0	183	BAZF	PQED	166	1990
0.000000	0.354027	0.803575730422	100.0	117	BAZF	EGNB	167	2122
0.000000	0.361012			108	BAZF	MMKU	168	
0.000000	0.345762			106	BAZF	JMTE	169	
0.000000	0.334663	0.246703816749	86.0	105	BAZF	TGNL	170	2146
0.000000	0.373095	0.39087387334	96.0	104	BAZF	AYPS	171	2148
0.000000	0.409754	1.68828661849	100.0	103	BAZF	PUAN	172	2150
0.000000	0.353343			101	BAZF	HHXJ	173	
0.000000	0.350149	0.607167440163	100.0	97	BAZF	EEJO	174	2162
0.000000	0.352221	0.397206820818	98.0	81	BAZF	GYBH	175	2194
0.000000	0.486901	2.30769293019	100.0	61	BAZF	ENAU	176	2199
0.012102	0.505514	1.30082151869	100.0	8	BAZF	DVYE	177	2200
0.000000	0.362293	0.00834368756996	22.0	7	IJMT	DVYE	179	2202
1.024284	0.970788	1.7985219208	100.0	5	IJMT	ISGT	180	2206
1.101842	0.984740	2.54727824075	100.0	4	VFIV	ISGT	182	2208
0.254242	0.672640	0.341965764031	100.0	2	VFIV	JMUI	183	2212
1.465629	0.997625	2.76498412285	100.0	2	RAWF	ISGT	186	2209
1.837600	0.999872	4.86239305096	100.0	2	SDPC	DVYE	189	2203
0.000000	0.377957	0.33651874186	99.0	53	VIAU	ENAU	192	2215
0.000000	0.390010	0.61387199571	100.0	42	VIAU	FXHG	193	2237
0.000000	0.352866			41	IRYH	FXHG	195	
0.000000	0.370191			40	IRYH	RUIF	196	
0.000000	0.378945	0.116365977685	49.0	35	IRYH	KFEB	197	2251
0.000000	0.386768	1.00324082052	100.0	16	IRYH	OFUE	198	2252
0.188761	0.605728	1.58450703143	100.0	14	IRYH	USIX	199	2256
0.000000	0.373409	0.322757097909	100.0	13	Chlre_v5.5	USIX	201	2258
0.482362	0.783040	1.89908667351	100.0	11	Chlre_v5.5	JKKI	202	2262
0.539052	0.815623	1.81753454034	100.0	10	Chlre_v5.5	BCYF	203	2264
0.043528	0.490551	0.395938177275	100.0	9	Chlre_v5.5	ISPU	204	2266
0.000000	0.336312	0.0742513361354	60.0	8	IHOI	ISPU	206	2268
0.156504	0.576714	0.566057154638	100.0	7	KUJU	ISPU	208	2270
0.030341	0.459891	0.117438357055	87.0	6	WRSL	ISPU	210	2272
0.610316	0.905145	1.20968872632	100.0	5	WRSL	RYJX	211	2274
0.081833	0.509313	0.246586585769	100.0	3	WRSL	Volca_v2.0	212	2278
2.127126	0.999997	3.79986069175	100.0	2	WRSL	JWGT	213	2280
0.009389	0.421566	0.103537904966	77.0	2	RNAT	RYJX	217	2275
0.491871	0.783730	1.79064006715	100.0	2	QWRA	USIX	223	2259
1.739991	0.999669	4.63796000881	100.0	2	XDLL	OFUE	226	2253
0.000000	0.478189	1.3694590235	100.0	19	VALZ	KFEB	229	2283
0.000000	0.419364	0.652547402148	100.0	8	VALZ	LNIL	230	2284
0.079569	0.531638	0.636723322176	100.0	5	VALZ	GFUR	231	2290
0.988334	0.969982	2.18798913662	100.0	3	VALZ	JRGZ	232	2294
0.283029	0.692199	0.456748374367	100.0	2	VALZ	MULF	233	2296
1.357225	0.996546	3.03642172119	100.0	2	TSBQ	GFUR	237	2291
1.312469	0.991417	4.4839986313	100.0	3	ZIVZ	LNIL	240	2285
1.336450	0.995149	2.59026716545	100.0	2	ACRY	LNIL	242	2287
0.722346	0.887229	2.59276903724	100.0	11	ZFXU	KFEB	245	2299
1.181154	0.987772	2.96877811005	100.0	6	ZFXU	RHVC	246	2309
1.508407	0.999375	2.88834087502	100.0	5	SYJM	RHVC	248	2311
1.623768	0.999897	2.60445125592	100.0	4	UKUC	RHVC	250	2313
1.946258	0.999994	3.00978751733	100.0	3	ZDIZ	RHVC	252	2315
0.177102	0.634460	0.216004799208	100.0	2	ZDIZ	WDWX	253	2317
0.330341	0.706408	0.836426465627	100.0	5	PRIQ	KFEB	257	2300
0.248654	0.655159	0.579130775589	100.0	3	PRIQ	ZLQE	258	2304
1.797121	0.999809	4.56154444171	100.0	2	PRIQ	QRTH	259	2306
0.444296	0.807031	0.876047414268	100.0	2	GUBD	KFEB	263	2301
0.000000	0.361478			5	LBRP	RUIF	266	
1.527163	0.998139	4.86232466283	100.0	4	LBRP	UTRE	267	2244
0.408697	0.827797	0.659508821411	100.0	3	LBRP	AOUJ	268	2246
1.648487	0.999675	2.8135767332	100.0	2	LBRP	AJUW	269	2248
0.000000	0.349049	0.45562314229	99.0	11	VJDZ	ENAU	276	2216
0.000000	0.378164	0.323396642272	95.0	8	VJDZ	BZSH	277	2222
0.000000	0.351906			7	VJDZ	FOYQ	278	
0.521466	0.797709	2.60587369836	100.0	6	VJDZ	OTQG	279	2226
0.000000	0.403549	0.260082108237	99.0	5	VJDZ	MWAN	280	2228
0.709208	0.904381	1.45479330242	100.0	3	VJDZ	XKWQ	281	2232
1.632102	0.999304	2.93592181977	100.0	2	XTON	XKWQ	283	2234
0.730269	0.916218	1.43173500649	100.0	2	PZIF	MWAN	286	2229
0.000000	0.336866	0.267217990997	89.0	3	DZPJ	ENAU	292	2217
0.606663	0.845087	2.11758833056	100.0	2	MXDS	ENAU	294	2219
0.000000	0.341752			20	AJAU	GYBH	297	
0.000000	0.365429	0.572856949417	100.0	14	AJAU	NSTT	298	2328
0.000000	0.347673	0.277357151892	96.0	12	AJAU	KADG	299	2332
1.109492	0.973757	4.88381160718	100.0	11	AJAU	GJIY	300	2334
0.225454	0.629247	0.577095688232	100.0	4	AJAU	JIWJ	301	2348
1.031295	0.971995	1.69945031917	100.0	3	AJAU	LETF	302	2350
1.622893	0.999170	4.47733681448	100.0	2	CBNG	LETF	304	2352
0.030087	0.475079	0.298081388121	100.0	7	OQON	GJIY	308	2335
0.528488	0.832865	1.01778529192	100.0	6	OQON	KSFK	309	2337
0.000000	0.421538	0.212472769921	100.0	5	OQON	NQYP	310	2339
0.903286	0.946604	2.71204104414	100.0	3	OQON	OAEZ	311	2343
0.234232	0.627009	0.591841705631	100.0	2	CQQP	OAEZ	313	2345
0.000000	0.433725	0.254492425891	100.0	2	LSHT	NQYP	316	2340
0.830173	0.916085	3.76199180558	100.0	2	ALZF	NSTT	322	2329
0.000000	0.338056			6	VBLH	GYBH	325	
0.000000	0.387384	0.756707663206	100.0	4	VBLH	YDCQ	326	2321
0.000000	0.381981	0.439068547454	99.0	2	VBLH	VHIJ	327	2325
0.886676	0.930528	3.84303745992	100.0	2	NATT	YDCQ	330	2322
0.955099	0.947127	4.88749312972	100.0	2	JTIG	GYBH	333	2196
0.000000	0.377916	0.873952223833	100.0	16	WCLV	EEJO	336	2163
0.000000	0.428759	0.935117357123	100.0	8	WCLV	NKXU	337	2179
1.499114	0.997610	3.78832263424	100.0	2	WCLV	WXRI	338	2180
0.000000	0.416182	0.376402703083	100.0	6	ZNUM	NKXU	341	2183
0.000000	0.349463	0.0159054731712	41.0	2	ZNUM	EATP	342	2184
0.000000	0.348579	0.0587976788933	34.0	4	GXBM	NKXU	345	2187
0.267056	0.657370	0.692714531925	100.0	3	GXBM	QYXY	346	2189
1.595650	0.998826	4.26736372635	100.0	2	ETGN	QYXY	348	2191
0.000000	0.353525	0.157612717589	70.0	8	MNCB	EEJO	352	2164
0.000000	0.388170	0.305475337795	89.0	3	MNCB	PFUD	353	2165
0.564967	0.828209	1.99070622508	100.0	2	MNCB	MFYC	354	2167
0.533178	0.801526	2.35549717359	100.0	5	JQFK	EEJO	358	2170
0.000000	0.412271			2	JQFK	BILC	359	
0.165256	0.577372	0.480502613586	100.0	3	AKCR	EEJO	362	2174
1.976862	0.999977	3.72069743238	100.0	2	Chlva_v1.0	EEJO	364	2176
1.241930	0.987397	4.06148007804	100.0	4	FMVB	HHXJ	367	2155
0.465384	0.843438	0.663881381954	100.0	3	DUMA	HHXJ	369	2157
1.262590	0.995333	1.96175820409	100.0	2	HVNO	HHXJ	371	2159
1.121911	0.975229	4.45436157228	100.0	2	RRSV	PUAN	374	2152
0.478932	0.772757	2.87844583497	100.0	2	ISIM	MMKU	380	2143
0.000000	0.352851			9	Micpu_v3.0	EGNB	383	
0.000000	0.411127	0.165197155208	60.0	8	Micpu_v3.0	XIVI	384	2127
0.000000	0.461284	0.868757379302	100.0	6	Micpu_v3.0	BTFM	385	2131
0.000000	0.385194			5	Micpu_v3.0	XOAL	386	
0.796148	0.906171	2.68376020036	100.0	4	Micpu_v3.0	MCPK	387	2135
1.154467	0.980280	2.76615783191	100.0	2	Micpu_v3.0	QXSZ	388	2136
0.217437	0.621334	0.492032831582	100.0	2	Ostlu_v2.0	MCPK	391	2139
0.742192	0.889870	2.36675846121	100.0	2	TNAW	XIVI	396	2128
0.000000	0.462237	2.71837078921	100.0	66	CKXF	PQED	400	1991
0.000000	0.373813	0.34107432303	100.0	62	CKXF	BAKF	401	1999
0.000000	0.394272	1.05618912405	100.0	29	CKXF	Cyame_v1.0	402	2000
0.000000	0.369247	0.828395060008	100.0	28	CKXF	LLXJ	403	2002
0.000000	0.353102	0.162986317363	93.0	27	CKXF	JJZR	404	2004
0.000000	0.335572			26	CKXF	RTLC	405	
0.000000	0.357570	0.29792695867	97.0	22	CKXF	ZULJ	406	2014
0.202001	0.619240	2.70307779492	100.0	21	CKXF	VZWX	407	2016
0.000000	0.421419	0.291416998399	100.0	17	CKXF	PYDB	408	2024
0.147368	0.582150	1.09934903126	100.0	8	CKXF	BWVJ	409	2025
0.000000	0.396793	0.233503194074	99.0	5	CKXF	IEHF	410	2031
0.581188	0.825080	2.18602514134	100.0	4	CKXF	SBLT	411	2033
0.761577	0.898265	2.25371428041	100.0	3	WEJN	SBLT	413	2035
1.134486	0.976616	4.20965540873	100.0	2	WEJN	UGPM	414	2037
0.992518	0.955524	3.27609485615	100.0	3	IHJY	BWVJ	419	2026
0.000000	0.409976			2	IHJY	JEBK	420	
0.000000	0.465716	0.556543091628	100.0	9	IKWM	PYDB	424	2040
0.714094	0.879147	2.50712697792	100.0	5	IKWM	VNAL	425	2048
0.532961	0.813830	1.90760284591	100.0	4	PWKQ	VNAL	427	2050
0.794061	0.913263	2.69688722762	100.0	2	PWKQ	FTRP	428	2054
0.989235	0.959164	3.37872452581	100.0	2	LJPN	VNAL	431	2051
0.937059	0.943836	3.15634050869	100.0	4	URSB	PYDB	434	2041
0.278334	0.673643	0.557345639401	100.0	3	URSB	ZJOJ	435	2043
0.000000	0.387970	0.200808043066	98.0	2	IKIZ	ZJOJ	437	2045
0.000000	0.425272	0.292483757712	100.0	4	YSBD	VZWX	441	2017
0.000000	0.413388	0.468845269986	100.0	3	YSBD	XAXW	442	2019
0.422864	0.743586	1.69577130495	100.0	2	UYFR	XAXW	444	2021
0.000000	0.360894	0.100303106424	54.0	4	OBUY	RTLC	449	2007
0.797440	0.904582	3.76892216179	100.0	2	OBUY	PVGP	450	2011
0.000000	0.451381	1.09925055618	100.0	2	RSOF	RTLC	453	2008
0.000000	0.354078	0.188064598353	95.0	33	FIKG	BAKF	459	2057
0.000000	0.337716	0.150051145417	85.0	29	FIKG	BAJW	460	2065
0.085032	0.551869	1.37706929045	100.0	22	FIKG	BOGT	461	2079
0.918624	0.938843	3.85372539299	100.0	19	FIKG	APTP	462	2085
0.118135	0.547097	0.300879138646	100.0	18	FIKG	LIRF	463	2087
0.325938	0.707159	0.812166628648	100.0	17	FIKG	FSQE	464	2089
1.450108	0.997101	3.163797231	100.0	8	FIKG	RWXW	465	2090
0.682526	0.930068	1.02636132726	100.0	3	FIKG	FOMH	466	2091
1.122503	0.991924	1.69495289992	100.0	2	FIKG	HFIK	467	2093
0.066438	0.481811	0.289919674683	100.0	5	YRMA	RWXW	471	2096
0.030284	0.455825	0.30510493389	100.0	4	YRMA	LDRY	472	2098
0.178571	0.604139	0.37177824107	100.0	3	YRMA	JGGD	473	2100
0.143850	0.571385	0.485458855533	100.0	2	VYER	JGGD	475	2102
0.208421	0.618066	0.552569265261	100.0	9	RAPY	FSQE	480	2105
0.145833	0.569628	0.305787454704	100.0	8	RAPY	ASZK	481	2107
1.193824	0.986819	2.74792435081	100.0	3	RAPY	FIDQ	482	2108
1.015688	0.979687	1.70040969064	100.0	2	RAPY	SRSQ	483	2110
0.859466	0.947126	1.67136619735	100.0	5	ULXR	ASZK	487	2113
0.801297	0.952314	1.42996760439	100.0	4	ULXR	QLMZ	488	2115
0.645850	0.913715	0.984251292032	100.0	3	ULXR	VRGZ	489	2117
0.000000	0.395714			2	ULXR	JCXF	490	
0.769920	0.895974	2.51339852878	100.0	3	VKVG	BOGT	499	2080
0.986511	0.959919	2.05838813248	100.0	2	VKVG	DBYD	500	2082
0.100141	0.560280	1.30189592444	100.0	7	RFAD	BAJW	504	2066
0.540653	0.806381	2.51540759611	100.0	5	RFAD	EBWI	505	2070
0.959217	0.962441	2.68102152871	100.0	4	RFAD	NMAK	506	2072
0.191224	0.613503	0.736611432875	100.0	3	LLEN	NMAK	508	2074
0.141994	0.556823	0.516939811416	100.0	2	VJED	NMAK	510	2076
0.499533	0.781998	2.28939057271	100.0	2	LXRN	BAJW	514	2067
0.414594	0.735522	2.76090406103	100.0	4	ROZZ	BAKF	517	2058
0.000000	0.381282			3	ROZZ	IRZA	518	
0.215349	0.623440	0.896696496273	100.0	2	IAYV	IRZA	520	2062
0.350743	0.701235	2.64210719415	100.0	4	QFND	PQED	524	1992
0.000000	0.403290	0.0951017192277	68.0	3	JKHA	PQED	526	1994
0.032804	0.474708	0.32383097619	100.0	2	POOW	PQED	528	1996
0.000000	0.442257	1.22409829521	100.0	3	XMCL	HYHN	531	1985
0.383518	0.732217	1.85043734873	100.0	2	XJGM	HYHN	533	1987
0.000000	0.403115	0.82859726466	100.0	3	NNHQ	KYIO	536	1979
0.403076	0.747049	1.43968011725	100.0	2	NNHQ	AZZW	537	1981
0.390049	0.726647	2.25282451007	100.0	4	BFIK	Klefl_v1.0	541	1971
2.778177	1.000000	4.61522285402	100.0	3	FPCO	Klefl_v1.0	543	1973
2.705718	1.000000	4.22284419954	100.0	2	FQLP	Klefl_v1.0	545	1975
1.355107	0.993316	4.50629267521	100.0	2	MWXT	Chabr_v0.1	548	1967
0.332426	0.692661	2.6689669882	100.0	3	DRGY	VQBJ	551	1961
1.839409	0.999972	3.0044302929	100.0	2	QPDY	VQBJ	553	1963
0.000000	0.373112	0.248499964913	68.0	37	WDGV	TPHT	556	1887
0.115014	0.553215	0.999353008324	100.0	36	WDGV	HAOX	557	1889
0.045179	0.516665	0.79862962241	100.0	25	WDGV	FFGR	558	1911
0.000000	0.418355	0.697759728148	100.0	23	WDGV	SNOX	559	1915
0.000000	0.388412			22	WDGV	XRTZ	560	
0.000000	0.428358	0.299599873488	100.0	21	WDGV	KEYW	561	1919
0.264040	0.657575	1.01813078498	100.0	20	WDGV	DRFX	562	1921
0.754702	0.924322	1.8052014605	100.0	19	WDGV	AEKF	563	1923
0.708689	0.920629	1.17641708491	100.0	18	WDGV	YSQT	564	1925
0.171454	0.599210	0.330214489747	100.0	17	WDGV	RPQV	565	1927
0.254033	0.656506	0.624029386865	100.0	16	WDGV	HIDG	566	1929
0.009033	0.459927	0.603606302519	100.0	15	WDGV	RQFE	567	1931
0.378595	0.751290	1.17335314876	100.0	14	WDGV	GYRP	568	1933
0.000000	0.380599	0.264613265795	99.0	8	WDGV	WCQU	569	1945
0.000000	0.345627			7	WDGV	BHBK	570	
0.605911	0.884546	1.41417485802	100.0	5	WDGV	MCHJ	571	1951
0.030245	0.459161	0.378250596603	100.0	4	WDGV	GBGT	572	1953
0.000000	0.371495			3	WDGV	MOYY	573	
0.431730	0.810099	0.725363505638	100.0	2	WDGV	STKJ	574	1957
0.095811	0.525363	0.302852647536	99.0	2	RPRU	BHBK	580	1948
0.545167	0.846422	0.87506118737	100.0	6	ISHC	GYRP	584	1934
0.072903	0.499733	0.360743966843	100.0	5	ISHC	QWFV	585	1936
1.046443	0.990817	2.17364315608	100.0	2	ISHC	MNNM	586	1937
0.699090	0.939847	1.30822936472	100.0	3	DFDS	QWFV	589	1940
0.000000	0.393416	0.142097677066	94.0	2	DFDS	GGWH	590	1942
0.000000	0.359293	0.722394741831	100.0	2	KMNX	FFGR	604	1912
0.000000	0.365345	0.194543986122	72.0	11	ZRMT	HAOX	607	1890
0.000000	0.409925	0.241242909071	80.0	10	ZRMT	WSJO	608	1892
1.122204	0.991407	2.71398805462	100.0	8	ZRMT	YOXI	609	1896
0.563204	0.917202	0.818896528087	100.0	5	ZRMT	JOJQ	610	1902
0.434743	0.881629	0.562196615291	100.0	2	ZRMT	HKZW	611	1903
1.819941	0.999999	2.17608771146	100.0	3	MFZO	JOJQ	614	1906
0.545430	0.987354	0.670115696753	100.0	2	MFZO	NBYP	615	1908
2.921091	1.000000	5.29645225533	100.0	3	VAZE	YOXI	619	1897
1.534393	1.000000	1.52775988142	100.0	2	VAZE	RPGL	620	1899
0.648791	0.921235	1.22337361775	100.0	2	WDCW	WSJO	624	1893
0.000000	0.461266	0.277648768249	100.0	74	LGOW	BSNI	629	1739
0.298818	0.743749	0.575913263613	100.0	64	LGOW	SKQD	630	1759
2.556202	1.000000	4.04272364083	100.0	22	LGOW	HERT	631	1760
2.028244	1.000000	2.71570718384	100.0	15	LGOW	JHFI	632	1774
0.056792	0.480127	0.0730212446237	80.0	13	LGOW	YFGP	633	1778
0.414171	0.929791	0.503963919775	100.0	12	LGOW	NRWZ	634	1780
0.535498	0.968061	0.894714180628	100.0	11	LGOW	BNCU	635	1782
0.423591	0.930102	0.806616254346	100.0	6	LGOW	OFTV	636	1792
1.585390	1.000000	1.20847156271	100.0	5	WZYK	OFTV	638	1794
0.024270	0.424503			2	WZYK	RTMU	639	
